No,date,Label,baseline_HBO,baseline_HHB,baseline_TSI,Stage1_HBO,Stage1_HHB,Stage1_TSI,Stage2_HBO,Stage2_HHB,Stage2_TSI,Stage3_HBO,Stage3_HHB,Stage3_TSI,Stage4_HBO,Stage4_HHB,Stage4_TSI,Stage5_HBO,Stage5_HHB,Stage5_TSI,Stage1_activation_HBO,Stage1_activation_HHB,Stage2_activation_HBO,Stage2_activation_HHB,Stage3_activation_HBO,Stage3_activation_HHB,Stage4_activation_HBO,Stage4_activation_HHB,Stage5_activation_HBO,Stage5_activation_HHB,Stage1_different_HBO,Stage1_different_HHB,Stage2_different_HBO,Stage2_different_HHB,Stage3_different_HBO,Stage3_different_HHB,Stage4_different_HBO,Stage4_different_HHB,Stage5_different_HBO,Stage5_different_HHB,baseline_s_HBO,Stage1_s_HBO,Stage2_s_HBO,Stage3_s_HBO,Stage4_s_HBO,Stage5_s_HBO,baseline_s_HHB,Stage1_s_HHB,Stage2_s_HHB,Stage3_s_HHB,Stage4_s_HHB,Stage5_s_HHB,baseline_HBT,Stage1_HBT,Stage2_HBT,Stage3_HBT,Stage4_HBT,Stage5_HBT,baseline_s_HBT,Stage1_s_HBT,Stage2_s_HBT,Stage3_s_HBT,Stage4_s_HBT,Stage5_s_HBT
12,20190226,0,0.251953151,0.215770723,0.663510516,0.073927834,0.665829171,0.414539981,0.026662649,0.786828316,0.51221199,0.365765648,0.366824532,0.686537199,0.758393593,0.215901876,0.61033884,0.66139289,0.418671301,0.489604955,0.357440524,0.881151873,0.235719763,0.892821225,0.492561662,0.629756847,0.75573262,0.521359006,0.70906995,0.594147556,0.357440524,0.881151873,0.554673886,0.825283192,0.925471323,0.052312243,0.944749405,0.563473336,0.362988532,0.607394609,0.575523803,0.282911133,0.68385621,0.696525474,0.877593928,0.39252922,0,0.964623913,0.708258643,0.105576813,0.540918253,0.720315132,0.013153329,0.021074861,0.073415436,0.252331525,0.710174527,0.689989444,0.567352666,0.602681666,0.718143623,0.59945266,0.924586754,0.401553907
22,20190510,0,0.69958146,0.464061452,0.214460783,0.034226434,0.24555192,0.342481566,0.423249576,0.213023892,0.420234,0.560351485,0.032021103,0.569264485,0.550578039,0,0.652755411,0.182276611,0,0.541091529,0,0.263667037,0.186061621,0.280670925,0.327731738,0.301113595,0.374724219,0.265519073,0.160171766,0.144880047,0,0.263667037,1,0.654949368,0.676630411,0.339962622,0.467554948,0.687845019,0.086718287,0.353690586,0,0.742335468,0.675762686,0.290325301,0,0.500972941,0.364583738,0.31591874,0.469542707,0.337073654,0.6574819,0.412346081,0.537709701,0.163643106,0.206610289,0.105107788,0.078284907,0,0,0.609468355,0.449958231,0.279737427,0.416125247,0.33793105
22,20190513,0,0.356513073,0.386459731,0.804495368,0.627575129,0.745209741,1,0.813438623,0.952785798,0.943938755,0.83877471,0.677890035,0.714671571,0.942438687,0.708689257,0.753684864,0.942186592,0.69737019,0.561564114,0.74918891,0.80867267,0.904260193,0.897913906,0.762606709,0.709000662,0.812603229,0.71202907,0.829538534,0.692584039,0.74918891,0.80867267,0.696839857,0.926242723,0.551726934,0.189516977,0.624433041,0.823515656,0.464801746,0.428093576,0.591257933,0.538869584,0.744520534,0.398998738,0.732223277,0.316075293,1,0.444614771,0.598546427,0.310211596,0.820953046,0.492366721,0.395743495,0.633220931,0.850247001,0.847084111,1,0.954501876,0.87219046,0.557349588,0.690838205,0.408673878,0.807266466,0.174873662
23,20190515,0,0.118503605,1,0.127843983,0.392462919,0.810518921,0.527017721,0.673331529,0.343760446,0.804504634,0.842181606,0.033413471,0.944712627,1,0.03552808,1,0.965158389,0.531540904,0.82521702,0.722931062,0.337853661,1,0,0.9273722,0,0.981990448,0,0.974619065,0.206978844,0.722931062,0.337853661,0.831550318,0.11861145,0.739119104,0.197378184,0.690638142,0.73184272,0.432096018,0.913766924,0.426165805,0.773088912,0.767162,0.453187411,0.62219419,0.619842584,0.4759191,0.029674192,0.315565324,0.424999919,0.88229631,0.725611604,0.155014097,0.346508318,0.530790412,0.665712201,0.893393591,0.936892559,0.529395052,0.751296877,0.695306691,0.495466294,0.760957453,0.550364376
23,20190517,0,0.023029604,0.000777256,1,0.062188367,0,0.97875037,0.004606486,0.040889422,1,0,0,1,0,0.071823217,0.97909207,0,0.09699042,1,0.513188408,0.431624039,0.438234261,0.478360914,0.384716933,0.544030363,0.408300412,0.553657367,0.415791836,0.491266955,0.513188408,0.431624039,0.546256121,0.750299407,0.449914841,0.496639751,0.441873295,0.818607551,0.436828004,0.390712497,0.311859142,0.573128177,0.603231347,0.306749812,0.499404573,0.556153869,0.517022227,0.342140547,0.621717068,0.424861056,0.746655697,0.422578433,0.049804563,0.023722822,0.017023624,0,0.056949989,0.087879438,0.315482972,0.574681332,0.538273724,0.359403646,0.611598327,0.372536777
25,20190617,0,0.495055387,0.318822526,0.416833328,0.559758961,0.570510802,0.357816687,0.821125906,0.341408851,0.672365273,1,0.148814827,0.849645862,0.872102918,0.285142926,0.73146955,0.780524782,0.288174763,0.550167597,0.591680516,0.700484615,0.776153651,0.481230876,0.784478511,0.448782072,0.690906863,0.505980772,0.65118385,0.43879024,0.591680516,0.700484615,0.784063023,0.40999844,0.764000094,0.318692137,0.353136267,0.914178427,0.371791461,0.392125937,0.593996392,0.632107027,0.667514411,0.362851891,0.417283609,0.673783649,0.517372676,0.173079245,0.841402663,0.581851508,0.949662248,0.022671503,0.539432737,0.650819395,0.844190559,1,0.968195032,0.834947625,0.862857821,0.562512849,0.694970522,0.473497433,0.609671586,0.298367364
28,20190708,0,0.252498052,0.634357072,0.421023145,0.51738985,0.783589058,0.516771079,0.67759364,0.588774901,0.696281376,0.679515333,0.208041925,0.765209686,0.751504498,0.314644584,0.718713858,0.844389122,0.247226919,0.411878808,0.731435553,0.629902218,0.872989916,0.445484815,0.718608258,0.304434029,0.751106932,0.354563372,0.824653908,0.220925187,0.731435553,0.629902218,0.689398413,0.444329843,0.509277527,0.107130527,0.575160272,0.881004404,0.551789681,0.316822652,0.369126164,0.728263137,0.668620037,0.334611153,0.575494444,0.808888122,0.326675522,0.656473011,0,0.40589617,1,0,0.356899673,0.592122151,0.734928701,0.684108627,0.834088872,0.868523168,0.375385304,0.895986949,0.516340545,0.379060609,0.736159751,0.514775584
28,20190710,0,0.286973888,0.544572102,0.54822137,0,0.914458684,0.06106677,0.05132396,0.739706552,0.132251354,0.360903593,0.318290624,0.459147824,0.66651707,0.095299653,0.844659003,0.917111716,0.20170291,0.442116957,0.269685029,0.833018014,0.225596943,0.62385816,0.465171096,0.417174415,0.678499779,0.277059006,0.851797784,0.241812907,0.269685029,0.833018014,0.666129329,0.464224569,0.886610044,0.054289597,0.838413147,0.466707159,0.706225342,0.484610549,0.22248552,0.420798312,0.846836066,0.649563944,0.664101292,0.513485635,0.506430657,0.537286474,0.23271168,0.208408914,0.553279715,0.494338578,0.176027341,0,0,0.154278582,0.472716668,0.828633018,0.089631845,0.460829199,0.749017738,0.622283165,0.688488057,0.376149663
36,20191211,0,0.021673006,0.294976155,0.44634628,0.000926662,0.756127,0.466507676,0.161993461,0.547651175,0.528973283,0.519246193,0.234397701,0.702215652,0.805886001,0.015598356,0.909563965,0.819476526,0.261073926,0.65614598,0.462450384,0.898617285,0.593775371,0.654883527,0.760357254,0.510470859,0.914476577,0.364613095,0.935471317,0.433546759,0.462450384,0.898617285,0.776327014,0.428863418,0.960623348,0.179546132,0.825919152,0.464961706,0.474490814,0.630627192,0.347737963,0.475218962,0.837511474,0.533193754,0.71285161,0.6702252,0.834978221,0.437829176,0.540162917,0.335193373,0.608389537,0.300986984,0.086605456,0.318530551,0.30017111,0.08884752,0,0.27991672,0.313919071,1,0.417862965,0.342400912,0.500024686,0.868591607
38,20191218,0,0.093826641,0.768708926,0.152211346,0.093359986,0.814580002,0.090514399,0,0.828371966,0.087472991,0.324944102,0.429886556,0.393421731,0.765170108,0.110526912,0.777578073,0.764219242,0.378741149,0.697842659,0.488273051,0.542754753,0.364407375,0.532309708,0.570934642,0.353839656,0.848534714,0.166226201,0.86090767,0.235244942,0.488273051,0.542754753,0.505085104,0.69257834,0.903953818,0.071425979,1,0.352320452,0.458797268,0.667767484,0.309826318,0.427929831,0.805956863,0.846911064,0.891360195,0,0.37514824,0.735940212,0.30881199,0.044901268,0.561560794,0.82730255,0.690977795,0.636380233,0.509876836,0.345998668,0.314662109,0.236611068,0.351524619,0.624036352,0.462201343,0.302575589,0.563788851,0
