No,date,Label,baseline_HBO,baseline_HHB,baseline_TSI,Stage1_HBO,Stage1_HHB,Stage1_TSI,Stage2_HBO,Stage2_HHB,Stage2_TSI,Stage3_HBO,Stage3_HHB,Stage3_TSI,Stage4_HBO,Stage4_HHB,Stage4_TSI,Stage5_HBO,Stage5_HHB,Stage5_TSI,Stage1_activation_HBO,Stage1_activation_HHB,Stage2_activation_HBO,Stage2_activation_HHB,Stage3_activation_HBO,Stage3_activation_HHB,Stage4_activation_HBO,Stage4_activation_HHB,Stage5_activation_HBO,Stage5_activation_HHB,Stage1_different_HBO,Stage1_different_HHB,Stage2_different_HBO,Stage2_different_HHB,Stage3_different_HBO,Stage3_different_HHB,Stage4_different_HBO,Stage4_different_HHB,Stage5_different_HBO,Stage5_different_HHB,baseline_s_HBO,Stage1_s_HBO,Stage2_s_HBO,Stage3_s_HBO,Stage4_s_HBO,Stage5_s_HBO,baseline_s_HHB,Stage1_s_HHB,Stage2_s_HHB,Stage3_s_HHB,Stage4_s_HHB,Stage5_s_HHB,baseline_HBT,Stage1_HBT,Stage2_HBT,Stage3_HBT,Stage4_HBT,Stage5_HBT,baseline_s_HBT,Stage1_s_HBT,Stage2_s_HBT,Stage3_s_HBT,Stage4_s_HBT,Stage5_s_HBT
35,20191208,1,0.87830903,0.174329638,0.379022148,0.1054546,0.649472874,0.042713374,0,0.778224353,0,0,0.618303001,0.116085388,0.302621274,0.513949756,0.489917393,0.668540174,0.272491303,0.808021527,0,0.891369282,0,0.943799138,0,0.819606352,0.105262851,0.631071736,0.410174226,0.537355718,0,0.891369282,0.281603524,0.799946629,0.26137858,0.377097322,0.885747025,0.24090374,0.867141396,0.235358637,0.490175833,0.197158212,0.292834805,0.53820449,0.938372075,0.696604605,0.49115206,0.85809684,0.205693131,0.241058292,0.461652663,0.447452722,0.847988313,0.818086893,0.835125495,0.885637292,0.603945118,0.009375797,0.628131239,0.341537334,0.405440904,0.24663768,0,0.456584494
35,20191210,1,0.866030736,0.372810423,0.665602303,0.28225108,0.770823264,0.551993028,0.180682297,0.82964316,0.997721041,0.074316613,0.480798952,0.980745116,0.119961721,0.152857979,0.935254865,0,0.213224937,0.63912919,0.119877957,0.825203171,0.121854261,0.833842938,0.052079195,0.587338119,0,0.278461168,0,0.396491787,0.119877957,0.825203171,0.334525616,0.724272352,0.057277789,0.146704947,0.697907709,0.052572555,0.368185187,0.502204532,0.450235654,0.304057321,0.30441341,0.326386972,0.719578736,0.184884169,0.481090876,0.806684908,0.248840719,0,0.315399326,0.777407237,0.575257265,0.328881137,0.376058113,0.219296245,0.363654024,0.493497791,0.498787115,0.678238617,0.123298389,0.269862629,0.759288324,0.560639028
37,20191213,1,0.630641143,0.247163947,0.377789954,0.073887945,0.814762981,0.074841975,0.40296918,0.652393679,0.386403332,0.59841576,0.409650984,0.424093326,0.91769518,0.161247453,0.72556634,0.844557784,0.1696532,0.584584923,0.1758448,0.994187965,0.414885034,0.767170395,0.513489911,0.616970624,0.642079247,0.35558079,0.657942339,0.433568055,0.1758448,0.994187965,0.897990752,0.447173746,0.597091828,0.283854468,0.915215872,0.116677523,0.511395206,0.453145208,0.469486454,0.431883944,0.861311062,0.620923477,0.935072364,0.384536337,0.687674548,0.414542655,0.247490239,0.173164853,0.442162077,0.515661315,0.739955246,0.378419112,0.367710046,0.109559532,0,0,0.472769277,0.514014792,0.278907468,0,0.626907357,0.268815214
37,20191216,1,0.684523023,0.34645364,0.329544187,0.257378505,0.720314023,0.555827272,0.317157297,0.666821824,0.709432639,0.344140343,0.661442979,0.758128485,0.344699361,0.840639407,0.866889007,0.444742647,0.779835827,0.955806254,0.247665447,0.797789133,0.325794214,0.701528144,0.327789882,0.738694649,0.253571992,0.749804461,0.378533034,0.774162197,0.247665447,0.797789133,0.559875339,0.575484408,0.293735001,0.569188442,0.672312627,0.476582066,0.611429277,0.426571636,0.490162506,0.635164748,0.351303308,0.433690763,0.6883207,0.572170388,0.669321175,0.310294927,0.457014876,0.591097505,0.669061721,0.49218133,0.417838274,0,0.406070733,0.539877999,0.805199066,0.747835923,0.525855004,0.409909627,1,0.506078174,0.888192967,0.340589632
37,20191218,1,0.589494383,0.006201413,0.258851239,0.826632407,0,0.583409191,0.723125638,0.078914561,0.720344344,0.931676117,0.097562654,0.847929281,0,0.925687504,0.495953232,0.53895309,0.500300485,0.78637872,0.677461138,0.372038315,0.643400241,0.419344015,0.738228411,0.543447249,0.100270267,1,0.490238267,0.770781694,0.677461138,0.372038315,0.477488507,0.66428624,0.603917005,0.628888428,0,1,1,0.08386835,0.582976649,0.514125587,0.947634682,0,0.071668783,1,0.619975306,0.314852614,0.173628585,1,1,0,0.423506681,0.484493443,0.535644037,0.501634836,0.745859614,0.773137008,0.625306256,0.632942024,0.360013021,0.609666592,0.802224664,0.488370385
37,20191221,1,0.317011509,0.287434604,0.424360085,0.682819765,0.593983996,0.872051148,0.703527056,0.696904066,0.963833908,0.690499709,0.91640807,0.793958553,0.935869788,0.97831904,0.972100082,0.940784978,1,0.961488657,0.802940637,0.722480276,0.80807932,0.776955721,0.766806811,0.966637458,0.851218776,0.874763258,0.892686471,0.946171782,0.802940637,0.722480276,0.617597923,0.760853722,0.199925939,0.83866086,0.863218071,0.385665799,0.590186486,0.513210651,0.698214109,0.729053876,0.392659013,0.518893929,0.763138284,0.524186355,0.727337375,0.365586236,0.64844409,0.630432755,0.666084456,0.61766765,0.152206788,0.175697377,0.345750688,0.549144586,1,0.839601373,0.64672404,0.572374575,0.358451562,1,0.857899186,0.209265306
46,20200311,1,0.542991711,0.286873083,0.520152486,0.980905746,0.361874047,0.741456574,1,0.237659767,1,0.909371745,0.29968365,0.854229871,0.871567836,0.424283504,0.787368195,0.69098249,0.568720368,0.659251273,0.810319958,0.478733909,0.84811613,0.344882584,0.754348319,0.509306255,0.668845883,0.507488012,0.610975709,0.669385652,0.810319958,0.478733909,0.695086336,0.44551952,0.042211717,0.672867534,0.660155862,0.422693397,0.400356547,0.59811529,0.677402519,0.876151882,0.092876201,0.501316788,0.705522048,0.310097746,0.571112155,0.056199849,0.682061438,0.476619781,0.471271108,0.663742155,0.326964703,0.660953792,0.745060782,0.828250667,0.970697072,0.975481417,0.741227632,0.621682514,0.543275732,0.545786382,0.765101363,0.473044783
46,20200313,1,0.178519273,0.695169973,0.18934689,0.183068228,0.421919545,0.612362801,0.328034544,0.29760614,0.747321999,0.460937148,0.210119911,0.76555531,0.603952722,0.154602057,0.881019457,0.420551585,0.10414856,0.905163051,0.600810909,0.143084688,0.661398852,0.075529433,0.717543534,0.174959666,0.73325017,0.096040598,0.645334164,0.159473649,0.600810909,0.143084688,0.662474911,0.452061474,0.486771785,0.489532407,0.780971791,0.271488203,0.364962276,0.396636129,0.521493421,0.666521533,0.472114005,0.656293182,0.801090481,0,0.500487895,0.120889363,0.417469088,0.321492437,0.540378505,0.517894288,0.368767683,0.686934174,0.722201552,0.697340472,0.782388753,0.748758512,0.671483315,0.584059493,0.407087664,0.507884463,0.650376613,0.372857051
46,20200316,1,0.44358358,0.451473688,0.505824079,1,0.261882238,0.848059466,0.974887687,0.212968609,0.987275737,0.945031331,0.23843783,0.862623507,0.881645741,0.366450548,0.686499142,0.826117368,0.392876342,0.638614349,0.900696512,0.212701949,0.896873973,0.190280783,0.838499044,0.355861024,0.737805873,0.375379664,0.7506481,0.471171713,0.900696512,0.212701949,0.636631905,0.530410403,0.154644984,0.630100233,0.642266823,0.424043045,0.524275207,0.48223377,0.721738291,0.736148314,0.338342014,0.234535561,0.75738769,0.207076116,0.477011084,0.331158768,0.5405153,0.84519225,0.408848853,0.737301386,0.565173191,0.311717822,0.274395708,0.157779869,0.175211674,0.130944549,0.513210029,0.39415005,0.343097152,0.304543396,0.695296572,0.090469024
47,20200323,1,0.402047313,0.221752076,0.226731157,0.282000654,0.497158725,0.553695228,0.610761303,0.496989543,0.779047844,0.891638937,0.13662974,0.901233863,0.948985251,0,1,0.834022453,0.307238908,0.958038725,0.486007416,0.684734337,0.694365132,0.641087183,0.832940696,0.431021311,0.805677065,0.26306689,0.778718575,0.535120569,0.486007416,0.684734337,0.953248699,0.61867972,0.742141049,0.150219554,0.729987355,0.202598129,0.474176875,0.728733084,0.602810627,0.71027066,1,0.48907704,0.703240102,0.339410183,0.482760322,1,0.191508014,0.269586634,0.529095092,0.876966543,0.23782973,0.674510083,0.8181262,0.885616571,0.90801683,0.862974609,0.707383917,0.737445666,0.560051459,0.422586527,0.715353209,0.177417089
